P,COASTAL,GDART,JRanger,JayHorn,JBMC,JDart,MLB,SWS,SWAT
jpf-regression/ExDarko_false.ymlassert_javafalse,false,false,false,unknown,false,false,false,false,false
jpf-regression/ExException_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,unknown
jpf-regression/ExGenSymExe_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExLazy_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExMIT_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe10_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe11_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe12_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe13_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe14_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe15_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe16_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe17_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe18_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe19_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe1_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe20_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe21_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe25_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe26_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe27_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe28_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe29_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe2_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe3_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe4_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe5_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe6_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe7_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe8_false.ymlassert_javafalse,false,false,false,false,false,false,false,unknown,false
jpf-regression/ExSymExe9_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeArrays_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeBool_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeComplexMath_false.ymlassert_javafalse,false,false,false,unknown,false,false,false,false,false
jpf-regression/ExSymExeD2I_false.ymlassert_javafalse,false,false,false,unknown,false,false,false,false,false
jpf-regression/ExSymExeD2L_false.ymlassert_javafalse,false,false,false,unknown,false,false,false,unknown,false
jpf-regression/ExSymExeF2I_false.ymlassert_javafalse,false,false,false,unknown,false,false,false,false,false
jpf-regression/ExSymExeF2L_false.ymlassert_javafalse,false,false,unknown,unknown,false,false,false,unknown,false
jpf-regression/ExSymExeFNEG_false.ymlassert_javafalse,false,false,unknown,unknown,false,false,false,unknown,false
jpf-regression/ExSymExeGetStatic_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeI2D_false.ymlassert_javafalse,false,false,unknown,false,false,false,false,unknown,false
jpf-regression/ExSymExeI2F_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeLCMP_false.ymlassert_javafalse,false,false,unknown,false,false,false,false,false,false
jpf-regression/ExSymExeLongBytecodes_false.ymlassert_javafalse,false,false,unknown,false,false,false,false,false,false
jpf-regression/ExSymExeResearch_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeSimple_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeSuzette_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeSwitch_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeTestAssignments_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExeTestClassFields_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/ExSymExe_false.ymlassert_javafalse,false,false,false,false,false,false,false,false,false
jpf-regression/TestLazy_false.ymlassert_javafalse,false,false,false,unknown,unknown,false,false,false,false
